Lebensmittel,Energie in Kcal,Magnesium in mg,Wasser in g,Calcium in mg,Eiweiß in g,Phosph. in mg,Fett in g,Eisen in mg,KH in g,Zink in mg,ung. FS in g,Vit. A in µg,Chol. in mg,Carotin in mg,Alkohol in g,Vit. E in mg,Harnsr. in mg,Fols. in µg,tie. EW in g,Vit. B1 in mg,BST in g,Vit. B2 in mg,Natrium in mg,Vit. B6 in mg,Kalium in mg,Vit. C in mg
Vollkornbrot ,"      187,6          ","        57,0  ","         44,0             ","        22,0  ","          6,5             ","       232,0  ","            1,0             ","           2,7  ","             37,4             ","            2,4  ","         0,5             ","         1,0  ","           0,0            ","         0,0  ","         0,0             ","          1,0  ","        57,0            ","          15,0  ","         0,0             ","         0,1  ","             8,5             ","         0,1  ","       562,0            ","         0,2  ","        289,0            ","          0,0   "
Vollkornbrot mit Ölsamen ,"      203,6          ","        71,0  ","         42,4             ","        25,0  ","          7,1             ","       248,0  ","            3,0             ","           2,8  ","             36,4             ","            2,5  ","         1,7             ","         1,0  ","           0,0            ","         0,0  ","         0,0             ","          2,5  ","        61,0            ","          17,0  ","         0,0             ","         0,2  ","             8,4             ","         0,1  ","       539,0            ","         0,2  ","        306,0            ","          0,0   "
Graubrot-Toastbrot mit Schrot ,"      247,6          ","        48,0  ","         35,7             ","        41,0  ","          7,2             ","       181,0  ","            3,5             ","           2,2  ","             46,1             ","            1,6  ","         1,0             ","        20,0  ","           0,0            ","         0,0  ","         0,0             ","          1,2  ","        74,0            ","          22,0  ","         0,5             ","         0,2  ","             4,9             ","         0,2  ","       507,0            ","         0,2  ","        240,0            ","          0,1   "
Graubrot-Weizenmischbrot ,"      219,1          ","        40,0  ","         41,0             ","        22,0  ","          7,1             ","       130,0  ","            0,9             ","           1,7  ","             44,9             ","            1,3  ","         0,4             ","         0,0  ","           0,0            ","         0,0  ","         0,0             ","          0,6  ","        49,0            ","          12,0  ","         0,0             ","         0,2  ","             3,9             ","         0,1  ","       508,0            ","         0,1  ","        157,0            ","          0,0   "
Graubrot-Mehrkornbrot ,"      221,1          ","        45,0  ","         40,2             ","        25,0  ","          6,1             ","       142,0  ","            1,0             ","           1,9  ","             46,0             ","            1,4  ","         0,5             ","         0,0  ","           0,0            ","         0,0  ","         0,0             ","          0,7  ","        53,0            ","          13,0  ","         0,0             ","         0,2  ","             4,7             ","         0,1  ","       417,0            ","         0,2  ","        176,0            ","          0,0   "
Weißbrot-Toastbrot ,"      259,6          ","        19,0  ","         35,3             ","        35,0  ","          7,9             ","       131,0  ","            3,4             ","           1,6  ","             48,4             ","            1,1  ","         0,9             ","        20,0  ","           0,0            ","         0,0  ","         0,0             ","          0,7  ","        64,0            ","          17,0  ","         0,5             ","         0,1  ","             2,7             ","         0,2  ","       507,0            ","         0,1  ","        168,0            ","          0,1   "
Weißbrot-Weizenbrot ,"      239,5          ","        23,0  ","         37,9             ","        18,0  ","          7,4             ","        90,0  ","            1,3             ","           1,6  ","             48,5             ","            1,0  ","         0,5             ","         4,0  ","           0,0            ","         0,0  ","         0,0             ","          0,3  ","        53,0            ","          12,0  ","         0,0             ","         0,1  ","             2,8             ","         0,1  ","       517,0            ","         0,1  ","        124,0            ","          0,0   "
Vollkornbrötchen ,"      223,7          ","        96,0  ","         37,6             ","        33,0  ","          8,1             ","       262,0  ","            1,6             ","           2,8  ","             43,5             ","            2,1  ","         0,7             ","         1,0  ","           0,0            ","         0,0  ","         0,0             ","          1,3  ","        67,0            ","          13,0  ","         0,0             ","         0,3  ","             6,6             ","         0,1  ","       540,0            ","         0,3  ","        232,0            ","          0,0   "
Vollkornbrötchen mit Ölsamen ,"      239,5          ","       109,0  ","         36,2             ","        36,0  ","          8,8             ","       278,0  ","            3,7             ","           3,0  ","             42,1             ","            2,3  ","         2,0             ","         1,0  ","           0,0            ","         0,0  ","         0,0             ","          2,9  ","        71,0            ","          16,0  ","         0,0             ","         0,4  ","             6,6             ","         0,1  ","       516,0            ","         0,3  ","        253,0            ","          0,0   "
Brötchen ,"      251,9          ","        24,0  ","         34,6             ","        19,0  ","          7,8             ","        95,0  ","            1,4             ","           1,7  ","             51,0             ","            1,0  ","         0,5             ","         4,0  ","           0,0            ","         0,0  ","         0,0             ","          0,4  ","        56,0            ","           7,0  ","         0,0             ","         0,1  ","             3,0             ","         0,1  ","       544,0            ","         0,1  ","        130,0            ","          0,0   "
